City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阳江,64,30,38,0.83,20,121,115,5
阳泉,19,11,12,0.7,25,43,37,4
扬州,73,31,94,0.68,27,173,115,30
烟台,48,16,38,0.38,22,101,95,10
宜宾,71,51,67,1.32,24,74,50,11
宜昌,55,30,58,1.18,32,101,63,11
宜春,78,57,77,0.76,18,109,93,20
伊春,30,10,13,0.2,5,67,59,6
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,35,15,31,0.73,15,109,58,7
银川,50,21,49,0.8,21,52,55,25
营口,31,18,30,0.28,18,48,40,3
鹰潭,58,32,64,0.4,16,139,103,38
义乌,36,14,35,0.45,18,42,62,5
宜兴,66,19,44,0.6,9,122,117,10
益阳,74,42,95,1.25,16,90,69,3
永州,88,65,100,0.88,10,113,71,9
岳阳,71,51,85,1.28,13,133,79,14
玉林,56,39,48,1.0,12,96,93,8
榆林,21,8,11,0.8,25,43,40,5
运城,24,13,23,0.65,18,45,35,5
云浮,59,38,65,0.83,21,130,107,14
玉树州,30,5,29,0.5,3,86,59,5
玉溪,33,14,31,0.8,13,92,64,9
枣庄,72,45,92,0.58,12,176,112,17
张家港,47,16,37,0.25,23,104,93,6
张家界,44,27,43,1.43,10,84,61,6
张家口,29,9,12,0.43,16,46,56,5
章丘,154,117,158,3.6,74,55,25,13
张掖,28,10,14,0.45,12,64,54,5
漳州,48,19,47,0.5,11,56,51,9
湛江,43,24,28,0.77,13,82,85,5
肇庆,68,35,65,0.83,24,132,120,12
昭通,33,9,16,0.3,7,69,64,10
招远,55,22,57,0.6,16,88,77,9
郑州,52,18,52,1.41,33,33,34,9
镇江,58,13,52,0.48,13,125,108,4
中山,71,22,44,0.83,30,78,123,8
中卫,33,3,9,0.57,15,60,65,6
周口,96,62,140,1.48,25,69,54,9
舟山,33,14,27,0.53,7,66,65,5
珠海,41,16,31,0.57,28,67,81,6
诸暨,0,0,0,0.0,0,0,0,0
驻马店,104,77,119,1.33,23,45,24,5
株洲,71,51,90,0.79,18,136,73,7
淄博,133,101,165,3.27,61,65,31,15
自贡,60,42,60,0.75,16,84,47,10
资阳,54,21,55,0.7,20,91,56,8
遵义,36,17,33,0.65,13,93,71,4
